transaction_type,transaction_amount,second_party,last_four_digits,transaction_timestamp,transaction_category
1,120.0,DEBRAJ CHATTERJ,5801.0,2022-09-20 09:03:56+05:30,Other
1,543.0,MIR,5801.0,2022-09-19 22:23:23+05:30,Food-Joints
1,33.0,Rockey,5801.0,2022-09-19 11:22:02+05:30,Other
1,70.0,HOT AND SPICK,5801.0,2022-09-18 21:22:30+05:30,Apparel
1,80.0,NURUN NISHA,5801.0,2022-09-18 12:32:52+05:30,Other
1,4236.57,LE TRAVENUES TECHNOLOGY PRIVATE LIMITED,5801.0,2022-09-17 17:57:54+05:30,Other
1,50.0,Rockey,5801.0,2022-09-17 13:34:58+05:30,Other
1,654.3,IRCTC Web UPI,5801.0,2022-09-17 13:05:59+05:30,Travel
1,34.0,Neascafe,5801.0,2022-09-17 02:23:23+05:30,Food-Joints
1,60.0,,5801.0,2022-09-16 21:07:44+05:30,
2,80.0,,5801.0,2022-09-16 13:33:01+05:30,
1,340.0,,5801.0,2022-09-16 12:57:48+05:30,
1,838.0,,5801.0,2022-09-15 23:44:13+05:30,
1,30.0,Sp Dutta,5801.0,2022-09-15 16:58:11+05:30,Other
1,12.0,PRADIP BEHERA,5801.0,2022-09-15 16:48:17+05:30,Other
1,140.0,Sp Dutta,5801.0,2022-09-15 16:14:25+05:30,Other
1,40.0,,5801.0,2022-09-15 10:21:48+05:30,
1,100.0,PRABAL DUTTA,5801.0,2022-09-15 10:07:56+05:30,Other
0,20.0,,,2022-09-15 08:16:03+05:30,
1,110.0,Rockey,5801.0,2022-09-14 14:02:15+05:30,Other
1,40.0,SUBRATA PAL,5801.0,2022-09-14 11:18:31+05:30,Other
1,80.0,DEBRAJ CHATTERJ,5801.0,2022-09-14 11:05:23+05:30,Other
1,27.0,Neascafe,5801.0,2022-09-14 01:02:00+05:30,Food-Joints
2,170.0,,5801.0,2022-09-13 19:46:28+05:30,
1,1178.82,JioFiber,5801.0,2022-09-12 14:51:31+05:30,Other
2,140.0,,5801.0,2022-09-12 10:11:43+05:30,
1,68.0,Rockey,5801.0,2022-09-12 09:50:05+05:30,Other
1,20.0,Sp Dutta,5801.0,2022-09-11 18:58:36+05:30,Other
1,36.0,,5801.0,2022-09-11 18:56:41+05:30,
1,30.0,Sp Dutta,5801.0,2022-09-11 18:46:31+05:30,Other
1,102.15,IRCTC Web UPI,5801.0,2022-09-11 15:56:15+05:30,Travel
1,112.15,IRCTC Web UPI,5801.0,2022-09-11 15:48:58+05:30,Travel
1,150.0,Mtsc,5801.0,2022-09-11 14:47:45+05:30,Other
1,58.0,Rockey,5801.0,2022-09-11 09:41:14+05:30,Other
1,33.0,,,2022-09-11 09:40:36+05:30,
2,260.0,,5801.0,2022-09-10 20:48:05+05:30,
1,60.0,JERRY AND CO,5801.0,2022-09-10 20:35:46+05:30,Other
1,683.0,FOOD STUDIO RESTAURANT AND CAFE,5801.0,2022-09-10 20:22:20+05:30,Other
2,120.0,,5801.0,2022-09-10 18:47:47+05:30,
1,37.0,Rockey,5801.0,2022-09-10 13:40:16+05:30,Other
1,42.0,Rockey,5801.0,2022-09-09 13:33:17+05:30,Other
1,70.0,DEBRAJ CHATTERJ,5801.0,2022-09-09 12:13:34+05:30,Other
1,57.0,,5801.0,2022-09-08 20:14:10+05:30,
1,57.0,,5801.0,2022-09-08 20:13:32+05:30,
2,40.0,,5801.0,2022-09-08 10:20:25+05:30,
2,100.0,,5801.0,2022-09-08 08:42:59+05:30,
1,25.0,,5801.0,2022-09-07 23:55:04+05:30,
1,25.0,,,2022-09-07 23:54:35+05:30,
1,60.0,,5801.0,2022-09-07 17:24:34+05:30,
2,11442.0,,5801.0,2022-09-07 15:15:20+05:30,
1,6954.02,Life Insurance Corporation of India (LIC),5801.0,2022-09-07 12:28:59+05:30,Other
1,4636.02,Life Insurance Corporation of India (LIC),5801.0,2022-09-07 12:27:57+05:30,Other
1,55.0,Fast Food,5801.0,2022-09-07 11:16:02+05:30,Food-Joints
1,703.0,Fast Food,5801.0,2022-09-07 11:05:51+05:30,Food-Joints
1,40.0,,5801.0,2022-09-07 10:06:23+05:30,
2,100.0,,5801.0,2022-09-07 01:26:23+05:30,
2,100.0,,,2022-09-07 01:25:33+05:30,
1,20.0,NURUN NISHA,5801.0,2022-09-06 21:53:42+05:30,Other
1,75.0,,5801.0,2022-09-06 21:46:38+05:30,
1,62.0,,5801.0,2022-09-06 21:29:41+05:30,
1,30.0,,5801.0,2022-09-06 12:03:17+05:30,
2,40.0,,5801.0,2022-09-05 13:26:13+05:30,
1,40.0,,5801.0,2022-09-05 12:01:47+05:30,
1,35.0,NURUN NISHA,5801.0,2022-09-04 18:10:56+05:30,Other
1,35.0,NURUN NISHA,5801.0,2022-09-04 18:10:31+05:30,Other
1,87.0,Rockey,5801.0,2022-09-04 13:58:31+05:30,Other
2,240.0,,5801.0,2022-09-03 22:13:14+05:30,
1,425.0,,5801.0,2022-09-03 21:49:41+05:30,
1,20.0,Rockey,5801.0,2022-09-03 17:47:36+05:30,Other
1,66.0,Rockey,5801.0,2022-09-03 17:43:15+05:30,Other
1,20.0,Rockey,5801.0,2022-09-03 13:42:47+05:30,Other
1,72.0,,5801.0,2022-09-03 02:04:40+05:30,
1,67.0,Rockey,5801.0,2022-09-02 13:55:49+05:30,Other
2,40.0,,5801.0,2022-09-02 13:16:37+05:30,
1,110.0,DEBRAJ CHATTERJ,5801.0,2022-09-02 12:19:55+05:30,Other
1,27.0,,5801.0,2022-09-02 00:43:54+05:30,
2,1100.0,,5801.0,2022-09-02 00:42:45+05:30,
1,10.0,,5801.0,2022-09-01 19:46:34+05:30,
1,25.0,,5801.0,2022-09-01 19:45:17+05:30,
1,33.0,Rockey,5801.0,2022-09-01 14:17:00+05:30,Other
2,80.0,,5801.0,2022-09-01 10:13:25+05:30,
2,80.0,,,2022-09-01 10:13:09+05:30,
1,100.0,Sp Dutta,5801.0,2022-08-31 17:50:46+05:30,Other
1,45.0,DEBRAJ CHATTERJ,5801.0,2022-08-31 15:47:34+05:30,Other
2,40.0,,5801.0,2022-08-31 12:35:25+05:30,
1,200.0,Smart Pind,5801.0,2022-08-31 12:26:58+05:30,Bill
1,30.0,Rockey,5801.0,2022-08-30 12:35:41+05:30,Other
1,72.0,Rockey,5801.0,2022-08-30 12:35:02+05:30,Other
1,97.0,DEBRAJ CHATTERJ,5801.0,2022-08-30 09:09:01+05:30,Other
1,73.0,,,2022-08-30 09:08:47+05:30,
1,8.0,,5801.0,2022-08-29 10:10:50+05:30,
2,1500.0,,5801.0,2022-08-28 23:05:48+05:30,
0,1500.0,,,2022-08-28 22:49:55+05:30,
0,1000.0,,,2022-08-28 22:34:02+05:30,
